model,n_train,n_validation,events_validation,auroc,auprc,brier,predictor_count
clinical_hpv_treatment_expression,220,74,29,0.7862068965517242,0.7228695471877993,0.18072420936368425,28
clinical_hpv_treatment,220,74,29,0.7762452107279694,0.736841240987193,0.18316187056626654,15
clinical_only,220,74,29,0.6574712643678161,0.5606680177322385,0.23083089480170327,9
