expr_FAT1,expr_CCND1,expr_EPCAM,expr_CD274,expr_PIK3CA,expr_TP53,expr_EGFR,expr_CDKN2A,expr_NOTCH1,expr_SOX2,expr_KRT5,expr_KRT14,expr_PDCD1LG2,submitter_id
3.600793864000292,3.9258332041304005,3.2324433680897386,3.4008973366531534,1.5689283690958904,3.810362303676809,3.8545061744232623,4.024687184285349,2.5768399221317964,2.6665821646084384,9.349571825841103,9.993004845011873,3.1225763558786586,TCGA-F7-A620
4.321523958546769,4.551929733961027,3.103550267137886,0.3552238916714176,1.0532313066277679,3.2335121888011895,3.648591171310908,0.78294217967616,3.3075824308115918,2.5201853083721057,6.753655981168134,6.354105658025218,0.49011258216844905,TCGA-IQ-7631
3.671333927648127,4.000096151874368,5.375837047911949,0.9221137451769438,2.3463052836835887,2.0013718862579135,4.100657924278693,3.9705258484513704,3.5621931517413574,5.738805608234797,9.181566362304375,8.190517562942373,1.0848851680481093,TCGA-CN-6021
4.759449714656839,3.807448847176943,3.643330157654887,1.7721348260917549,3.115996672524929,4.1066765431426955,4.553844259489172,4.4173406882988235,4.379144986711672,4.291617674246988,9.637326727745364,9.187664864909936,1.305680657125645,TCGA-CN-4741
4.211927577875817,6.208635497899793,6.131064737271522,1.7644739145336326,2.4815761096915443,4.24513675148543,4.796363108923798,0.5270335626101991,4.22115047274134,6.072486544351694,9.197458809758865,8.948364421105207,1.0508216248317612,TCGA-DQ-7589
4.449906053168725,4.909249092601219,4.517946422809748,1.5147095633334593,2.751499142175025,4.122619368973095,4.112758971487398,5.389534636357364,4.228604439437279,6.063981468497159,8.247157200363983,3.715389925592287,1.5413517725988726,TCGA-CV-7406
4.3373639407676885,6.120852210080832,3.9652414455329494,2.5538884101021115,1.9685798109366202,3.9894357963618194,5.172202971296992,0.7521705210094063,3.743594886302745,3.37030852862841,8.678711197156916,8.848887029654463,2.3535823435649497,TCGA-CV-5431
4.6471553437715984,7.20392168249173,0.5464437013677365,0.8761768199375802,2.372717315174423,4.516702840499635,2.726152036466192,0.620038708739307,3.132036069514372,2.303884248725666,2.8683703817891524,2.325099725751215,2.1596726931351893,TCGA-CQ-6221
4.881007890029472,5.677994470677012,2.4449523342809676,1.4188825507130423,2.399911420823543,3.207078509388562,4.95284161969751,2.9513414182191826,3.5924098524397605,3.4950064353402133,9.680119776085341,10.380038184561547,1.7528973584359273,TCGA-CN-4737
3.215875327875962,4.142134226057949,1.9718563309998984,4.387963973740603,2.0162487812666194,3.631141754873535,4.299025388170476,0.6499264781053818,3.469366803096041,1.3638697995561897,9.696530976143293,10.039802849001916,3.582184715442973,TCGA-CV-7427
3.0557637783348164,5.095791673864114,2.605205037810034,0.7440779092284883,1.803984438850624,3.7472332642940076,4.266497931100427,0.8597203803857608,3.692271195650046,4.500420594789021,9.068153871734614,8.036943005046664,0.41752542260053077,TCGA-CV-7261
